binary,binary_sha256,case,completed,device,divB_max,elapsed_wall_s,finite,finite_positive,l1_mean_abs,linf_abs,nx,ny,precision,pressure_min,repeat,rho_min,run_config,solver,steps,suite,t,ulp_max
C:\Users\tangy\Desktop\floatpoint\build-cuda\hrsc_mhd.exe,5f63747ce23cfc9c7e2cb02728ad4911347a13d09e657b24cb69a5ec7b3270f5,orszag_tang_2d,True,gpu,3.72,4.498430000036024,True,True,0.0,0.0,256,256,double,0.4686934193105653,1,1.2702516292532986,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\orszag_tang_2d-double-gpu-hll-r01\config.cfg,hll,806,hardware_repeats,0.5,0
C:\Users\tangy\Desktop\floatpoint\build-double\hrsc_mhd.exe,db92496738da3eb444323cd0b631d897949c951a5f6eb0350adef17bc78fb669,orszag_tang_2d,True,cpu,3.72,27.511403299984522,True,True,0.0,0.0,256,256,double,0.4686934193105653,2,1.2702516292532986,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\orszag_tang_2d-double-cpu-hll-r02\config.cfg,hll,806,hardware_repeats,0.5,0
C:\Users\tangy\Desktop\floatpoint\build-cuda\hrsc_mhd.exe,5f63747ce23cfc9c7e2cb02728ad4911347a13d09e657b24cb69a5ec7b3270f5,orszag_tang_2d,True,gpu,3.72,4.45637050003279,True,True,0.0,0.0,256,256,double,0.4686934193105653,2,1.2702516292532986,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\orszag_tang_2d-double-gpu-hll-r02\config.cfg,hll,806,hardware_repeats,0.5,0
C:\Users\tangy\Desktop\floatpoint\build-double\hrsc_mhd.exe,db92496738da3eb444323cd0b631d897949c951a5f6eb0350adef17bc78fb669,orszag_tang_2d,True,cpu,3.72,27.568861300009303,True,True,0.0,0.0,256,256,double,0.4686934193105653,3,1.2702516292532986,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\orszag_tang_2d-double-cpu-hll-r03\config.cfg,hll,806,hardware_repeats,0.5,0
C:\Users\tangy\Desktop\floatpoint\build-cuda\hrsc_mhd.exe,5f63747ce23cfc9c7e2cb02728ad4911347a13d09e657b24cb69a5ec7b3270f5,orszag_tang_2d,True,gpu,3.72,3.073282500030473,True,True,0.0,0.0,256,256,double,0.4686934193105653,3,1.2702516292532986,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\orszag_tang_2d-double-gpu-hll-r03\config.cfg,hll,806,hardware_repeats,0.5,0
C:\Users\tangy\Desktop\floatpoint\build-double\hrsc_mhd.exe,db92496738da3eb444323cd0b631d897949c951a5f6eb0350adef17bc78fb669,orszag_tang_2d,True,cpu,3.72,25.76677440002095,True,True,0.0,0.0,256,256,double,0.4686934193105653,4,1.2702516292532986,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\orszag_tang_2d-double-cpu-hll-r04\config.cfg,hll,806,hardware_repeats,0.5,0
C:\Users\tangy\Desktop\floatpoint\build-cuda\hrsc_mhd.exe,5f63747ce23cfc9c7e2cb02728ad4911347a13d09e657b24cb69a5ec7b3270f5,orszag_tang_2d,True,gpu,3.72,4.4671976999379694,True,True,0.0,0.0,256,256,double,0.4686934193105653,4,1.2702516292532986,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\orszag_tang_2d-double-gpu-hll-r04\config.cfg,hll,806,hardware_repeats,0.5,0
C:\Users\tangy\Desktop\floatpoint\build-double\hrsc_mhd.exe,db92496738da3eb444323cd0b631d897949c951a5f6eb0350adef17bc78fb669,orszag_tang_2d,True,cpu,3.72,25.88199809996877,True,True,0.0,0.0,256,256,double,0.4686934193105653,5,1.2702516292532986,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\orszag_tang_2d-double-cpu-hll-r05\config.cfg,hll,806,hardware_repeats,0.5,0
C:\Users\tangy\Desktop\floatpoint\build-cuda\hrsc_mhd.exe,5f63747ce23cfc9c7e2cb02728ad4911347a13d09e657b24cb69a5ec7b3270f5,orszag_tang_2d,True,gpu,3.72,4.439627600018866,True,True,0.0,0.0,256,256,double,0.4686934193105653,5,1.2702516292532986,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\orszag_tang_2d-double-gpu-hll-r05\config.cfg,hll,806,hardware_repeats,0.5,0
C:\Users\tangy\Desktop\floatpoint\build-float\hrsc_mhd.exe,5d8aadb45892fbaefd4e61f2271ae8bb8a4a64bcd12aecacc4d83f6190e05529,orszag_tang_2d,True,cpu,3.72,21.322776600020006,True,True,0.0,0.0,256,256,float,0.46869349479675293,1,1.270251750946045,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\orszag_tang_2d-float-cpu-hll-r01\config.cfg,hll,806,hardware_repeats,0.5,0
C:\Users\tangy\Desktop\floatpoint\build-cuda-float\hrsc_mhd.exe,6fff5259b8c970a6a89929112ad85548514b9275ffd4b4faa90f9a92a69d379c,orszag_tang_2d,True,gpu,3.72,3.58672210003715,True,True,0.0,0.0,256,256,float,0.46869349479675293,1,1.270251750946045,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\orszag_tang_2d-float-gpu-hll-r01\config.cfg,hll,806,hardware_repeats,0.5,0
C:\Users\tangy\Desktop\floatpoint\build-float\hrsc_mhd.exe,5d8aadb45892fbaefd4e61f2271ae8bb8a4a64bcd12aecacc4d83f6190e05529,orszag_tang_2d,True,cpu,3.72,21.01774070004467,True,True,0.0,0.0,256,256,float,0.46869349479675293,2,1.270251750946045,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\orszag_tang_2d-float-cpu-hll-r02\config.cfg,hll,806,hardware_repeats,0.5,0
C:\Users\tangy\Desktop\floatpoint\build-cuda-float\hrsc_mhd.exe,6fff5259b8c970a6a89929112ad85548514b9275ffd4b4faa90f9a92a69d379c,orszag_tang_2d,True,gpu,3.72,3.547899500001222,True,True,0.0,0.0,256,256,float,0.46869349479675293,2,1.270251750946045,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\orszag_tang_2d-float-gpu-hll-r02\config.cfg,hll,806,hardware_repeats,0.5,0
C:\Users\tangy\Desktop\floatpoint\build-float\hrsc_mhd.exe,5d8aadb45892fbaefd4e61f2271ae8bb8a4a64bcd12aecacc4d83f6190e05529,orszag_tang_2d,True,cpu,3.72,20.97117940010503,True,True,0.0,0.0,256,256,float,0.46869349479675293,3,1.270251750946045,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\orszag_tang_2d-float-cpu-hll-r03\config.cfg,hll,806,hardware_repeats,0.5,0
C:\Users\tangy\Desktop\floatpoint\build-cuda-float\hrsc_mhd.exe,6fff5259b8c970a6a89929112ad85548514b9275ffd4b4faa90f9a92a69d379c,orszag_tang_2d,True,gpu,3.72,3.5196843000594527,True,True,0.0,0.0,256,256,float,0.46869349479675293,3,1.270251750946045,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\orszag_tang_2d-float-gpu-hll-r03\config.cfg,hll,806,hardware_repeats,0.5,0
C:\Users\tangy\Desktop\floatpoint\build-float\hrsc_mhd.exe,5d8aadb45892fbaefd4e61f2271ae8bb8a4a64bcd12aecacc4d83f6190e05529,orszag_tang_2d,True,cpu,3.72,20.90629529999569,True,True,0.0,0.0,256,256,float,0.46869349479675293,4,1.270251750946045,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\orszag_tang_2d-float-cpu-hll-r04\config.cfg,hll,806,hardware_repeats,0.5,0
C:\Users\tangy\Desktop\floatpoint\build-cuda-float\hrsc_mhd.exe,6fff5259b8c970a6a89929112ad85548514b9275ffd4b4faa90f9a92a69d379c,orszag_tang_2d,True,gpu,3.72,3.536256300052628,True,True,0.0,0.0,256,256,float,0.46869349479675293,4,1.270251750946045,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\orszag_tang_2d-float-gpu-hll-r04\config.cfg,hll,806,hardware_repeats,0.5,0
C:\Users\tangy\Desktop\floatpoint\build-float\hrsc_mhd.exe,5d8aadb45892fbaefd4e61f2271ae8bb8a4a64bcd12aecacc4d83f6190e05529,orszag_tang_2d,True,cpu,3.72,20.93406680005137,True,True,0.0,0.0,256,256,float,0.46869349479675293,5,1.270251750946045,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\orszag_tang_2d-float-cpu-hll-r05\config.cfg,hll,806,hardware_repeats,0.5,0
C:\Users\tangy\Desktop\floatpoint\build-cuda-float\hrsc_mhd.exe,6fff5259b8c970a6a89929112ad85548514b9275ffd4b4faa90f9a92a69d379c,orszag_tang_2d,True,gpu,3.72,3.533427600050345,True,True,0.0,0.0,256,256,float,0.46869349479675293,5,1.270251750946045,C:\Users\tangy\Desktop\floatpoint\experiments\week18\supplemental\hardware_repeats\runs\orszag_tang_2d-float-gpu-hll-r05\config.cfg,hll,806,hardware_repeats,0.5,0
